kda,most_played_role,winrate,avg_creeps_per_min,avg_gold_per_min,username,rank_lp
4.0/3.6/6.0,Top,Wins: 108 (50.2%),7.2,424.23999999999995,Elanis#Moony,Master 24 LP
6.1/5.5/5.1,Top,Wins: 113 (53.1%),7.220000000000001,438.84,JeanKulKi#pdrr,Master 225 LP
6.2/4.6/8.2,Jungler,Wins: 107 (54.6%),6.82,430.2,lIllIlIIIllllIl#EUW,Master 214 LP
7.3/3.8/7.6,Jungler,Wins: 91 (58.1%),7.3,455.62000000000006,run it back#000,Master 41 LP
5.9/6.2/6.5,Mid,Wins: 34 (57.6%),6.640000000000001,401.06000000000006,HighPing#120ms,Master 38 LP
7.5/4.6/6.9,Mid,Wins: 41 (61.2%),7.859999999999999,450.5,CHAUVESQY#LEC,Master 185 LP
8.6/6.2/6.1,AD Carry,Wins: 267 (53.2%),7.5,474.73999999999995,BROOKLYN POOKIE#BEAR,Master 84 LP
6.7/5.4/7.4,AD Carry,Wins: 111 (52.4%),7.7,451.93999999999994,DB Diga4#44147,Master 115 LP
5.7/6.1/11.4,Jungler,Wins: 28 (56.0%),6.639999999999999,470.62,cuh drel#fraud,Diamond I 11 LP
1.7/4.2/14.5,Support,Wins: 48 (56.5%),1.0400000000000003,295.46000000000004,Himeera#EUW,Master 131 LP
5.3/4.8/6.2,Top,Wins: 188 (54.7%),7.76,426.14,smurfeee#OSRS,Challenger 743 LP
5.7/6.3/6.2,Top,Wins: 104 (58.4%),5.779999999999999,646.6200000000001,Mystogan#DING,GrandMaster 759 LP
6.8/4.9/8.1,Jungler,Wins: 181 (54.4%),6.9,450.2,WHATSYOURORDER#MCD,Challenger 694 LP
7.1/4.4/9.0,Jungler,Wins: 91 (61.5%),6.760000000000001,437.14,nvid#4PIGS,Master 465 LP
5.8/4.0/7.4,Mid,Wins: 106 (58.9%),6.76,440.76000000000005,pump the menace#321,Master 274 LP
5.4/4.5/7.5,Mid,Wins: 158 (58.7%),8.06,455.36,castaway#117,Challenger 606 LP
6.4/4.6/6.1,AD Carry,Wins: 113 (55.4%),8.98,467.65999999999997,Miguel Diaz#YUS,GrandMaster 538 LP
7.6/4.2/7.2,AD Carry,Wins: 90 (63.4%),8.22,481.64000000000004,Soldier#0710,Challenger 870 LP
3.5/5.0/12.5,Support,Wins: 295 (52.6%),1.14,313.96000000000004,Shawi Katami#EUW,GrandMaster 615 LP
1.6/5.1/15.2,Support,Wins: 89 (57.8%),1.9599999999999997,311.02,Fiatal Isten#EUW,GrandMaster 571 LP
5.7/5.7/5.3,Top,Wins: 178 (56.0%),6.74,414.58000000000004,roaming rammus#NA1,Master 131 LP
7.1/3.6/4.9,Top,Wins: 82 (64.1%),8.040000000000001,514.08,never type#1998,Master 184 LP
7.3/3.9/10.1,Jungler,Wins: 70 (55.6%),6.62,442.4799999999999,动感弹球#抓闪抓,Master 23 LP
8.8/5.0/7.5,Jungler,Wins: 130 (59.0%),7.2,495.2,kano#chama,GrandMaster 333 LP
5.6/5.1/6.4,Mid,Wins: 59 (48.7%),4.38,330.72,等天黑#zed00,Master 79 LP
7.7/5.7/6.8,Mid,Wins: 158 (51.1%),7.58,472.82,final chapter#close,GrandMaster 237 LP
2.0/3.6/13.3,Support,Wins: 77 (57.0%),3.56,550.64,The Bitter Truth#Minji,GrandMaster 348 LP
6.0/4.9/6.2,AD Carry,Wins: 142 (53.2%),6.3,484.53999999999996,Esteben#NA1,Master 13 LP
2.7/4.7/12.7,Support,Wins: 66 (62.3%),4.14,498.96000000000004,Peachcat#juno,Master 308 LP
6.8/5.6/7.9,AD Carry,Wins: 117 (53.7%),7.0200000000000005,451.4200000000001,Dylan#333,Master 155 LP
5.2/4.1/4.7,Mid,Wins: 156 (51.1%),5.52,619.72,0MNISSIAH#0001,Master 46 LP
5.2/5.8/5.1,Top,Wins: 234 (51.5%),8.02,432.82,BUCHI#SIX10,Master 192 LP
5.0/4.4/9.4,Jungler,Wins: 73 (55.7%),5.8,418.53999999999996,Rimuru Kamado#Demon,Master 178 LP
6.5/4.4/7.1,Mid,Wins: 133 (52.3%),6.840000000000001,413.36,AntEater3#EUW,Master 62 LP
5.4/6.3/5.8,Mid,Wins: 152 (50.3%),6.58,424.53999999999996,Lethal#QWQ,Master 33 LP
