most_played_role,winrate,avg_creeps_per_min,avg_gold_per_min,username,division,rank,lp,games_won,kills,death,assists
Top,50.2,7.2,424.24,Elanis#Moony,Master,,24,108,4.0,3.6,6.0
Top,53.1,7.220000000000001,438.84,JeanKulKi#pdrr,Master,,225,113,6.1,5.5,5.1
Jungler,54.6,6.82,430.2,lIllIlIIIllllIl#EUW,Master,,214,107,6.2,4.6,8.2
Jungler,58.1,7.3,455.62000000000006,run it back#000,Master,,41,91,7.3,3.8,7.6
Mid,57.6,6.640000000000001,401.06000000000006,HighPing#120ms,Master,,38,34,5.9,6.2,6.5
Mid,61.2,7.859999999999999,450.5,CHAUVESQY#LEC,Master,,185,41,7.5,4.6,6.9
AD Carry,53.2,7.5,474.74,BROOKLYN POOKIE#BEAR,Master,,84,267,8.6,6.2,6.1
AD Carry,52.4,7.7,451.94,DB Diga4#44147,Master,,115,111,6.7,5.4,7.4
Jungler,56.0,6.639999999999999,470.62,cuh drel#fraud,Diamond,1.0,11,28,5.7,6.1,11.4
Support,56.5,1.0400000000000005,295.46000000000004,Himeera#EUW,Master,,131,48,1.7,4.2,14.5
Top,54.7,7.76,426.14,smurfeee#OSRS,Challenger,,743,188,5.3,4.8,6.2
Top,58.4,5.779999999999999,646.6200000000001,Mystogan#DING,GrandMaster,,759,104,5.7,6.3,6.2
Jungler,54.4,6.9,450.2,WHATSYOURORDER#MCD,Challenger,,694,181,6.8,4.9,8.1
Jungler,61.5,6.760000000000001,437.14,nvid#4PIGS,Master,,465,91,7.1,4.4,9.0
Mid,58.9,6.76,440.7600000000001,pump the menace#321,Master,,274,106,5.8,4.0,7.4
Mid,58.7,8.06,455.36,castaway#117,Challenger,,606,158,5.4,4.5,7.5
AD Carry,55.4,8.98,467.66,Miguel Diaz#YUS,GrandMaster,,538,113,6.4,4.6,6.1
AD Carry,63.4,8.22,481.64,Soldier#0710,Challenger,,870,90,7.6,4.2,7.2
Support,52.6,1.14,313.96000000000004,Shawi Katami#EUW,GrandMaster,,615,295,3.5,5.0,12.5
Support,57.8,1.96,311.02,Fiatal Isten#EUW,GrandMaster,,571,89,1.6,5.1,15.2
Top,56.0,6.74,414.58,roaming rammus#NA1,Master,,131,178,5.7,5.7,5.3
Top,64.1,8.040000000000001,514.08,never type#1998,Master,,184,82,7.1,3.6,4.9
Jungler,55.6,6.62,442.4799999999999,动感弹球#抓闪抓,Master,,23,70,7.3,3.9,10.1
Jungler,59.0,7.2,495.2,kano#chama,GrandMaster,,333,130,8.8,5.0,7.5
Mid,48.7,4.38,330.72,等天黑#zed00,Master,,79,59,5.6,5.1,6.4
Mid,51.1,7.58,472.82,final chapter#close,GrandMaster,,237,158,7.7,5.7,6.8
Support,57.0,3.56,550.64,The Bitter Truth#Minji,GrandMaster,,348,77,2.0,3.6,13.3
